CONTROL,REGION,SHIPMONTH,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,JSTATUS,JPRICE,JSQFT,JBEDROOM,JTITLED,JLOCATION,JFOUNDATION,JSECURED
1401001,4,201401,2,5.784210526,1.081805946,2,96400,1836,3,1,1,1,9,R,I,R,R,R,R,R,R
1401002,2,201401,1,4.854545455,0.927452179,2,55800,1300,3,2,1,3,1,R,I,R,R,R,R,R,R
1401003,2,201401,1,4.854545455,0.927452179,2,57300,1300,3,2,1,3,1,R,I,I,I,I,I,I,I
1401004,3,201401,1,34.778571429,0.927452179,1,49200,1088,1,9,9,9,9,R,I,I,I,9,9,9,9
1401005,4,201401,1,11.568421053,0.927452179,2,42700,600,1,2,3,2,1,R,R,R,R,R,R,R,R
1401006,3,201401,2,17.389285714,1.081805946,2,49900,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401007,3,201401,2,17.389285714,1.081805946,1,50700,1000,3,9,9,9,9,R,R,R,R,9,9,9,9
1401008,2,201401,2,2.427272727,1.081805946,2,95200,1404,3,2,1,2,1,R,R,R,R,R,R,R,R
1401009,1,201401,2,2.408333333,1.081805946,2,93000,1736,1,2,3,3,1,I,I,I,I,I,I,I,I
1401010,3,201401,2,17.389285714,1.081805946,2,60000,1568,3,2,3,2,1,R,R,R,R,R,R,R,R
1401011,3,201401,1,34.778571429,0.927452179,1,48900,1080,3,9,9,9,9,I,I,I,I,9,9,9,9
1401012,3,201401,2,17.389285714,1.081805946,2,79600,1344,3,2,3,3,1,I,I,I,I,I,I,I,I
1401013,2,201401,2,17.389285714,1.081805946,2,87300,1568,3,2,1,3,1,R,I,I,I,I,I,I,I
1401014,4,201401,2,5.784210526,1.081805946,2,96000,1404,3,1,3,1,9,R,R,R,R,R,R,R,R
1401015,1,201401,2,2.408333333,1.081805946,2,65900,1792,3,2,3,3,1,R,R,R,R,R,R,R,R
1401016,2,201401,2,2.427272727,1.081805946,2,78000,1296,3,3,1,3,1,R,I,R,R,R,R,R,R
1401017,3,201401,1,34.778571429,0.927452179,1,53600,1216,3,9,9,9,9,R,I,R,R,9,9,9,9
1401018,4,201401,2,5.784210526,1.081805946,2,185900,1512,3,2,1,2,1,R,R,R,R,R,R,R,R
1401019,5,201401,3,11.592857143,1.081805946,2,89200,1624,3,2,1,3,1,R,I,I,I,R,R,R,R
1401020,2,201401,2,2.427272727,1.081805946,2,72000,1680,3,1,3,3,1,R,R,R,R,R,R,R,R
1401021,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,1,3,1,9,I,I,I,I,I,I,I,R
1401022,4,201401,2,5.784210526,1.081805946,2,92000,1344,3,2,1,2,1,R,R,R,R,R,R,R,R
1401023,3,201401,2,17.389285714,1.081805946,1,87700,1568,3,9,9,9,9,R,R,R,R,9,9,9,9
1401024,5,201401,3,3.856140351,1.081805946,2,144400,2560,3,1,3,2,1,R,R,R,R,R,R,R,R
1401025,1,201401,1,4.816666667,0.927452179,2,41500,756,1,1,3,2,1,R,R,R,R,R,R,R,R
1401026,4,201401,2,5.784210526,1.081805946,2,81700,1404,1,2,1,3,1,R,I,R,R,R,R,R,R
1401027,4,201401,2,5.784210526,1.081805946,2,61700,1404,3,2,3,2,1,R,R,R,R,R,R,R,R
1401028,3,201401,2,17.389285714,1.081805946,2,51700,1984,3,3,3,3,1,R,R,R,R,R,R,R,R
1401029,3,201401,2,17.389285714,1.081805946,1,60000,1568,3,9,9,9,9,R,R,R,R,9,9,9,9
1401030,1,201401,2,2.408333333,1.081805946,2,75800,1232,1,3,1,2,1,R,I,R,R,R,R,R,R
1401031,4,201401,2,5.784210526,1.081805946,2,121100,2500,3,1,1,1,9,R,I,I,I,I,I,I,R
1401032,1,201401,2,2.408333333,1.081805946,2,106400,2000,3,2,1,3,1,R,I,R,R,R,R,R,R
1401033,3,201401,1,34.778571429,0.927452179,2,42700,896,1,2,3,3,1,I,I,I,I,I,I,I,I
1401034,2,201401,1,4.854545455,0.927452179,2,45800,1056,3,2,3,2,1,R,R,R,R,R,R,R,R
1401035,3,201401,1,34.778571429,0.927452179,2,53600,1216,3,2,3,1,9,I,I,I,I,I,I,I,R
1401036,1,201401,1,4.816666667,0.927452179,2,50000,1120,3,1,3,3,1,R,R,R,R,R,R,R,R
1401037,2,201401,1,4.854545455,0.927452179,2,48800,1216,3,2,1,3,1,R,R,R,R,R,R,R,R
1401038,3,201401,2,17.389285714,1.081805946,2,114200,1680,3,1,3,3,1,R,R,R,R,R,R,R,R
1401039,4,201401,2,5.784210526,1.081805946,2,62100,1568,3,2,3,1,9,R,R,R,R,R,R,R,R
1401040,1,201401,2,2.408333333,1.081805946,2,75800,1232,3,2,1,3,1,R,I,R,R,R,R,R,R
1401041,4,201401,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1,R,R,R,R,R,R,R,R
1401042,1,201401,1,4.816666667,0.927452179,1,46000,924,1,9,9,9,9,R,R,R,R,9,9,9,9
1401043,4,201401,2,5.784210526,1.081805946,2,185900,1620,3,2,1,3,1,R,R,R,R,R,R,R,R
1401044,2,201401,2,2.427272727,1.081805946,2,71500,1456,3,2,3,3,1,R,R,R,R,R,R,R,R
1401045,2,201401,1,4.854545455,0.927452179,2,33000,896,3,2,3,3,1,R,R,R,R,R,R,R,R
1401046,3,201401,2,17.389285714,1.081805946,3,9,9,9,9,9,9,9,I,9,9,9,9,9,9,9
1401047,3,201401,2,17.389285714,1.081805946,2,81800,1408,3,2,1,3,1,R,I,I,I,I,R,I,I
1401048,5,201401,3,3.856140351,1.081805946,3,9,9,9,9,9,9,9,R,9,9,9,9,9,9,9
1401049,3,201401,1,34.778571429,0.927452179,2,55800,1280,3,2,1,3,1,R,I,R,R,R,R,R,R
1401050,3,201401,2,17.389285714,1.081805946,2,81900,1848,3,2,3,3,1,R,R,R,R,R,R,R,R
1401051,3,201401,1,34.778571429,0.927452179,2,43500,1216,3,1,3,3,1,R,R,R,R,R,R,R,R
