SQFT,weight,shipmonth,status,SECTIONS,LOCREGIN,TITLED,wgtadj,controlid,jstatus,jprice,jsqft,jbedroom,price,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured
1248,36.97857142857143,201501,2,1,3,2,1.1153286011810817,1501001,R,I,R,R,49900,R,R,R,R,1,3,3,1
1216,36.97857142857143,201501,2,1,3,2,1.1153286011810817,1501002,R,R,R,R,39900,R,R,R,R,3,3,3,1
840,12.589473684210526,201501,2,1,4,3,1.1153286011810817,1501003,R,R,R,R,39000,R,R,R,R,1,1,2,1
600,12.589473684210526,201501,2,1,4,2,1.1153286011810817,1501004,R,R,R,R,34500,R,R,R,R,1,3,3,1
840,12.589473684210526,201501,2,1,4,2,1.1153286011810817,1501005,R,R,R,R,40900,R,R,R,R,1,3,2,1
1216,12.589473684210526,201501,2,1,4,2,1.1153286011810817,1501006,R,R,R,R,43900,R,R,R,R,3,1,3,1
1216,5.65,201501,2,1,1,2,1.1153286011810817,1501007,R,R,R,R,66500,R,R,I,R,3,3,3,1
910,5.65,201501,2,1,1,2,1.1153286011810817,1501008,R,R,R,R,37000,R,R,R,R,3,1,3,1
1152,36.97857142857143,201501,2,1,3,2,1.1153286011810817,1501009,R,R,R,R,68800,R,R,R,R,3,3,3,1
1120,8.2,201501,2,1,2,2,1.1153286011810817,1501010,R,R,R,R,37000,R,R,R,R,3,1,3,1
1216,8.2,201501,2,1,2,2,1.1153286011810817,1501011,R,R,R,R,39900,I,R,I,I,3,1,2,1
1216,8.2,201501,2,1,2,2,1.1153286011810817,1501012,R,R,R,R,39900,I,R,I,I,3,1,3,1
924,8.2,201501,2,1,2,2,1.1153286011810817,1501013,R,R,R,R,26700,R,R,R,R,3,1,3,1
1216,8.2,201501,2,1,2,2,1.1153286011810817,1501014,R,R,R,R,54900,R,R,R,R,3,1,2,1
1216,8.2,201501,2,1,2,2,1.1153286011810817,1501015,R,R,R,R,35000,R,R,R,R,3,1,3,1
1216,8.2,201501,2,1,2,2,1.1153286011810817,1501016,R,R,R,R,35000,R,R,R,R,3,1,3,1
1088,36.97857142857143,201501,2,1,3,2,1.1153286011810817,1501017,R,R,R,R,33500,R,R,R,R,3,1,3,1
1280,36.97857142857143,201501,2,1,3,2,1.1153286011810817,1501018,R,R,R,R,47800,R,R,R,R,3,1,3,1
1216,8.2,201501,2,1,2,3,1.1153286011810817,1501019,I,I,I,I,48800,I,I,I,I,3,1,3,1
980,8.2,201501,2,1,2,2,1.1153286011810817,1501020,I,I,I,I,40800,I,I,I,I,3,1,3,1
1056,8.2,201501,2,1,2,2,1.1153286011810817,1501021,R,I,R,R,43400,R,R,R,R,3,1,3,1
1216,8.2,201501,2,1,2,3,1.1153286011810817,1501022,R,I,R,R,48800,R,R,R,R,3,1,2,1
1216,8.2,201501,2,1,2,3,1.1153286011810817,1501023,R,I,R,R,48800,R,R,R,R,3,1,2,1
1152,8.2,201501,2,1,2,2,1.1153286011810817,1501024,I,I,I,I,46600,I,I,I,I,3,1,3,1
1216,8.2,201501,2,1,2,1,1.1153286011810817,1501025,R,R,R,R,55000,R,R,R,R,3,1,3,1
960,8.2,201501,2,1,2,2,1.1153286011810817,1501026,R,R,R,R,34600,R,R,R,R,1,1,3,1
960,8.2,201501,2,1,2,2,1.1153286011810817,1501027,R,I,R,R,40100,R,R,R,R,1,1,3,1
