control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17010001,201701,9.3167,1.0154,1,1,9,1,63000,1000,3,9,9,9,R,R,R,R,9,9,9,9
17010002,201701,9.3167,1.0154,1,1,9,1,65000,800,1,9,9,9,R,R,R,R,9,9,9,9
17010003,201701,9.3167,1.0154,1,1,9,1,40000,900,3,9,9,9,R,R,R,R,9,9,9,9
17010004,201701,9.3167,1.0154,1,1,9,1,38000,800,1,9,9,9,I,I,I,I,9,9,9,9
17010005,201701,9.3167,1.0154,1,1,9,1,56000,900,3,9,9,9,R,R,R,R,9,9,9,9
17010006,201701,9.3167,1.0154,1,1,9,1,47000,1100,1,9,9,9,R,I,I,I,9,9,9,9
17010007,201701,9.3167,1.0154,2,1,1,1,9,1000,3,1,2,1,R,9,I,I,I,R,R,I
17010008,201701,9.3167,1.0154,2,1,2,1,101600,1200,1,1,3,1,R,R,R,R,R,R,R,R
17010009,201701,9.3167,1.0154,2,1,3,1,40000,900,3,1,2,1,R,R,R,R,R,R,R,R
17010010,201701,9.3167,1.0154,2,1,1,1,30000,900,3,1,3,1,R,R,R,R,R,R,R,R
17010011,201701,9.3167,1.0154,2,1,1,1,57000,1200,3,1,3,1,R,R,R,R,R,R,R,R
17010012,201701,9.3167,1.0154,2,1,2,1,71000,1100,1,3,3,1,R,R,R,R,R,R,R,R
17010013,201701,9.3167,1.0154,2,1,2,1,51000,1200,3,1,3,1,I,I,I,I,I,I,I,I
17010014,201701,9.3167,1.0154,2,1,2,1,9,800,1,1,1,9,R,9,R,R,R,R,R,R
17010015,201701,9.3167,1.0154,1,2,9,1,39000,700,1,9,9,9,I,I,I,I,9,9,9,9
17010016,201701,9.3,1.0154,1,2,9,1,48000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17010017,201701,9.3,1.0154,1,2,9,1,52000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17010018,201701,9.3,1.0154,1,2,9,1,49000,1100,3,9,9,9,R,I,R,R,9,9,9,9
17010019,201701,9.3,1.0154,1,2,9,1,49000,1100,3,9,9,9,I,I,I,I,9,9,9,9
17010020,201701,9.3,1.0154,1,2,9,1,44000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010021,201701,9.3,1.0154,1,2,9,1,28600,700,1,9,9,9,I,I,I,I,9,9,9,9
17010022,201701,9.3,1.0154,1,2,9,1,52000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17010023,201701,9.3,1.0154,1,2,9,1,36000,700,1,9,9,9,R,R,R,R,9,9,9,9
17010024,201701,9.3,1.0154,1,2,9,1,59000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17010025,201701,9.3,1.0154,1,2,9,1,54000,1300,3,9,9,9,I,I,I,I,9,9,9,9
17010026,201701,9.3,1.0154,1,2,9,1,46000,1100,3,9,9,9,I,I,I,I,9,9,9,9
17010027,201701,9.3,1.0154,1,2,9,1,50000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010028,201701,9.3,1.0154,1,2,9,1,52000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17010029,201701,9.3,1.0154,1,2,9,1,44000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010030,201701,9.3,1.0154,1,2,9,1,39000,900,3,9,9,9,R,R,R,R,9,9,9,9
17010031,201701,9.3,1.0154,1,2,9,1,38000,700,1,9,9,9,I,I,I,I,9,9,9,9
17010032,201701,9.3,1.0154,2,2,1,1,46000,1100,3,1,3,1,I,I,I,I,I,I,I,I
17010033,201701,9.3,1.0154,2,2,2,1,9,700,1,1,3,1,R,9,R,R,R,R,R,R
17010034,201701,9.3,1.0154,2,2,2,1,52000,1200,3,1,3,1,I,I,I,I,I,I,I,I
17010035,201701,9.3,1.0154,2,2,1,1,28600,700,1,3,3,1,R,R,R,R,R,R,R,R
17010036,201701,9.3,1.0154,2,2,2,1,40000,1100,3,1,3,1,R,R,R,R,R,R,R,R
17010037,201701,9.3,1.0154,2,2,1,1,28600,1100,3,1,3,1,R,R,R,R,R,R,R,R
17010038,201701,9.3,1.0154,2,2,1,1,52000,1200,3,1,3,1,I,I,I,I,I,I,I,I
17010039,201701,9.3,1.0154,2,2,2,1,54000,1300,3,1,3,1,I,I,I,I,I,I,I,I
17010040,201701,9.3,1.0154,2,2,3,1,50000,1300,1,3,3,1,R,R,R,R,R,R,R,R
17010041,201701,9.3,1.0154,2,2,3,1,42000,900,3,3,3,1,I,I,I,I,I,I,I,I
17010042,201701,9.3,1.0154,2,2,2,1,43000,1100,3,1,3,1,R,R,R,R,R,R,R,R
17010043,201701,9.3,1.0154,2,2,2,1,34000,1100,3,1,3,1,R,R,R,R,R,R,R,R
17010044,201701,9.3,1.0154,2,2,2,1,43000,1100,1,1,3,1,R,R,R,R,R,R,R,R
17010045,201701,9.3,1.0154,2,2,2,1,9,1200,3,1,3,1,R,9,R,R,R,R,R,R
17010046,201701,9.3,1.0154,2,2,2,1,9,1200,3,1,3,1,R,9,R,R,R,R,R,R
17010047,201701,9.3,1.0154,2,2,2,1,9,1200,3,1,3,1,R,9,R,R,R,R,R,R
17010048,201701,9.3,1.0154,2,2,3,1,50000,1200,3,1,3,1,I,I,I,I,I,I,I,I
17010049,201701,9.3,1.0154,2,2,1,1,9,900,3,1,3,1,R,9,R,R,R,R,R,R
17010050,201701,9.3,1.0154,2,2,3,1,55000,1300,1,3,3,1,I,I,I,I,I,I,I,I
17010051,201701,9.3,1.0154,2,2,1,1,9,900,3,1,3,1,R,9,R,R,R,R,R,R
17010052,201701,9.3,1.0154,2,2,3,1,54000,1300,3,3,3,1,I,I,I,I,I,I,I,I
17010053,201701,9.3,1.0154,2,2,1,1,49000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17010054,201701,9.3,1.0154,2,2,2,1,49000,1200,3,1,3,1,R,R,R,R,R,R,R,R
17010055,201701,9.3,1.0154,2,2,2,1,47000,1100,1,1,3,1,I,I,I,I,I,I,I,I
17010056,201701,9.3,1.0154,2,2,2,1,49000,1200,3,1,3,1,R,R,R,R,R,R,R,R
17010057,201701,9.3,1.0154,2,2,2,1,47000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17010058,201701,9.3,1.0154,2,2,2,1,38000,700,1,1,3,1,I,I,I,I,I,I,I,I
17010059,201701,9.3,1.0154,2,2,2,1,47000,1100,3,3,3,1,I,I,I,I,I,I,I,I
17010060,201701,9.3,1.0154,2,2,2,1,46000,1100,3,1,1,9,I,I,I,I,I,I,I,I
17010061,201701,9.3,1.0154,2,2,3,1,36000,1300,3,1,1,9,R,R,R,R,R,R,R,R
17010062,201701,9.3,1.0154,2,2,2,1,51000,700,1,1,1,9,R,R,R,R,R,R,R,R
17010063,201701,9.3,1.0154,2,2,3,1,43000,1100,3,1,1,9,R,R,R,R,R,R,R,R
17010064,201701,9.3,1.0154,2,2,1,1,45000,1100,1,1,1,9,R,R,R,R,R,R,R,R
17010065,201701,9.3,1.0154,2,2,2,1,49000,1100,1,1,1,9,I,I,I,I,I,I,I,I
17010066,201701,9.3,1.0154,2,2,2,1,52000,1200,3,1,1,9,I,I,I,I,I,I,I,I
17010067,201701,9.3,1.0154,2,2,1,1,52000,1200,3,1,1,9,I,I,I,I,I,I,I,I
17010068,201701,9.3,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010069,201701,9.3,1.0154,3,5,9,1,9,9,9,9,9,9,I,9,9,9,9,9,9,9
17010070,201701,9.3,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010071,201701,48.2357,1.0154,1,3,9,1,39000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010072,201701,48.2357,1.0154,1,3,9,1,60000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17010073,201701,48.2357,1.0154,1,3,9,1,52000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17010074,201701,48.2357,1.0154,1,3,9,1,53000,1000,1,9,9,9,R,R,R,R,9,9,9,9
17010075,201701,48.2357,1.0154,1,3,9,1,25700,700,1,9,9,9,R,R,R,R,9,9,9,9
17010076,201701,48.2357,1.0154,1,3,9,1,37000,700,1,9,9,9,R,R,R,R,9,9,9,9
17010077,201701,48.2357,1.0154,1,3,9,1,50000,1200,3,9,9,9,R,I,R,R,9,9,9,9
17010078,201701,48.2357,1.0154,1,3,9,1,52000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17010079,201701,48.2357,1.0154,1,3,9,1,47000,1100,3,9,9,9,R,I,R,R,9,9,9,9
17010080,201701,48.2357,1.0154,1,3,9,1,30000,900,1,9,9,9,R,R,R,R,9,9,9,9
17010081,201701,48.2357,1.0154,1,3,9,1,35000,700,1,9,9,9,R,R,R,R,9,9,9,9
17010082,201701,48.2357,1.0154,1,3,9,1,49000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010083,201701,48.2357,1.0154,1,3,9,1,34000,1000,1,9,9,9,R,R,R,R,9,9,9,9
17010084,201701,48.2357,1.0154,1,3,9,1,25700,900,3,9,9,9,R,R,R,R,9,9,9,9
17010085,201701,9.3,1.0154,1,3,9,1,55000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010086,201701,48.2357,1.0154,1,3,9,1,50000,1200,3,9,9,9,I,I,I,I,9,9,9,9
17010087,201701,48.2357,1.0154,1,3,9,1,44000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010088,201701,48.2357,1.0154,1,3,9,1,38000,1000,1,9,9,9,R,R,R,R,9,9,9,9
17010089,201701,48.2357,1.0154,1,3,9,1,44000,1000,1,9,9,9,I,I,I,I,9,9,9,9
17010090,201701,48.2357,1.0154,1,3,9,1,46000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010091,201701,9.3,1.0154,1,3,9,1,57000,1100,1,9,9,9,R,R,R,R,9,9,9,9
17010092,201701,48.2357,1.0154,1,3,9,1,48000,1300,3,9,9,9,R,R,R,R,9,9,9,9
17010093,201701,48.2357,1.0154,1,3,9,1,57000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010094,201701,48.2357,1.0154,1,3,9,1,40000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010095,201701,48.2357,1.0154,1,3,9,1,31000,1200,3,9,9,9,R,R,R,R,9,9,9,9
17010096,201701,48.2357,1.0154,2,3,2,1,54000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17010097,201701,48.2357,1.0154,2,3,2,1,51000,1000,1,1,3,1,R,R,R,R,R,R,R,R
17010098,201701,48.2357,1.0154,2,3,2,1,32000,700,1,3,3,1,R,R,R,R,R,R,R,R
17010099,201701,48.2357,1.0154,2,3,2,1,46000,1100,1,3,3,1,I,I,I,I,I,I,I,I
17010100,201701,48.2357,1.0154,2,3,2,1,31000,700,1,3,3,1,R,R,R,R,R,R,R,R
17010101,201701,48.2357,1.0154,2,3,2,1,35000,900,3,3,3,1,R,R,R,R,R,R,R,R
17010102,201701,48.2357,1.0154,2,3,2,1,53000,1300,3,3,3,1,R,R,R,R,R,R,R,R
17010103,201701,48.2357,1.0154,2,3,2,1,33000,700,1,3,3,1,R,R,R,R,R,R,R,R
17010104,201701,48.2357,1.0154,2,3,2,1,47000,1100,3,3,3,1,R,I,R,R,R,R,R,R
17010105,201701,48.2357,1.0154,2,3,2,1,51000,1200,3,3,3,1,R,R,R,R,R,R,R,R
17010106,201701,48.2357,1.0154,2,3,2,1,39000,700,1,3,3,1,I,I,I,I,I,I,I,I
17010107,201701,48.2357,1.0154,2,3,2,1,42000,900,1,3,3,1,R,R,R,R,R,R,R,R
17010108,201701,48.2357,1.0154,2,3,1,1,41000,900,1,3,3,1,R,I,I,I,I,I,I,I
