CONTROL,SHIPMONTH,WEIGHT,WGTADJ,REGION,SECTIONS,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED,JSTATUS,JPRICE,JSQFT,JBEDROOM,JTITLE,JLOCATION,JFOUNDATION,JSECURED
18010001,201801,54.285700000000006,0.9682,3,1,2,34900,1100,3,2,3,3,1,R,R,R,R,R,R,R,R
18010002,201801,54.285700000000006,0.9682,3,1,2,27700,680,1,2,3,3,1,R,R,R,R,R,R,R,R
18010003,201801,16.8842,0.9682,4,1,2,97000,770,1,2,1,2,1,R,R,R,R,R,R,R,R
18010004,201801,16.8842,0.9682,4,1,2,61000,530,1,2,1,2,1,R,R,R,R,R,R,R,R
18010005,201801,54.285700000000006,0.9682,4,1,2,34900,990,1,2,3,3,1,R,R,R,R,R,R,R,R
18010006,201801,16.8842,0.9682,4,1,2,41600,840,1,2,3,2,1,R,R,R,R,R,R,R,R
18010007,201801,10.700000000000001,0.9682,1,1,2,52000,1100,3,2,1,3,9,R,R,R,R,R,R,R,R
18010008,201801,10.700000000000001,0.9682,1,1,2,43000,780,1,2,3,3,9,R,R,R,R,R,R,R,R
18010009,201801,54.285700000000006,0.9682,3,1,2,61000,900,1,1,1,3,1,R,R,R,R,R,R,R,R
18010010,201801,54.285700000000006,0.9682,3,1,2,53000,1200,3,2,1,3,1,I,I,I,I,I,I,I,I
18010011,201801,54.285700000000006,0.9682,3,1,2,38900,1100,3,3,1,2,3,R,R,R,R,R,R,R,R
18010012,201801,54.285700000000006,0.9682,3,1,2,42900,1200,1,2,1,3,1,R,R,R,R,R,R,R,R
18010013,201801,13.472700000000001,0.9682,2,1,2,9,980,3,3,1,2,9,R,9,R,R,R,R,R,R
18010014,201801,13.472700000000001,0.9682,2,1,2,36900,980,3,2,1,3,9,R,R,R,R,R,R,R,R
18010015,201801,13.472700000000001,0.9682,2,1,2,9,1100,3,3,1,3,9,R,9,I,I,I,R,I,I
18010016,201801,13.472700000000001,0.9682,2,1,2,42000,920,3,2,3,3,9,R,R,R,R,R,R,R,R
18010017,201801,13.472700000000001,0.9682,2,1,2,29400,710,1,2,1,3,9,R,R,R,R,R,R,R,R
18010018,201801,13.472700000000001,0.9682,2,1,2,48200,1200,3,1,1,3,9,I,I,I,I,I,I,I,I
18010019,201801,54.285700000000006,0.9682,3,1,2,9,1100,3,3,1,3,1,R,9,R,R,R,R,R,R
18010020,201801,13.472700000000001,0.9682,3,1,2,53000,1200,3,2,1,3,1,R,R,R,R,R,R,R,R
18010021,201801,54.285700000000006,0.9682,3,1,2,40200,840,1,2,3,3,1,I,I,I,I,I,I,I,I
18010022,201801,54.285700000000006,0.9682,3,1,2,53000,1200,3,2,1,3,1,R,I,R,R,R,R,R,R
18010023,201801,13.472700000000001,0.9682,2,1,2,40300,920,3,3,1,3,9,I,I,I,I,I,I,I,I
18010024,201801,13.472700000000001,0.9682,2,1,2,9,710,1,3,1,3,9,R,9,R,R,R,R,R,R
18010025,201801,13.472700000000001,0.9682,2,1,2,44800,960,1,2,1,3,9,R,R,R,R,I,R,I,I
18010026,201801,13.472700000000001,0.9682,2,1,2,44800,960,1,2,1,3,9,R,R,R,R,R,R,R,R
18010027,201801,13.472700000000001,0.9682,2,1,2,48300,960,1,3,1,3,9,R,R,R,R,I,R,I,I
18010028,201801,13.472700000000001,0.9682,2,1,2,43900,1100,3,2,1,3,9,R,I,R,R,I,R,R,R
18010029,201801,13.472700000000001,0.9682,2,1,2,44800,960,1,2,1,3,9,R,R,R,R,R,R,R,R
18010030,201801,13.472700000000001,0.9682,2,1,2,29400,960,3,1,1,3,9,R,R,R,R,R,R,R,R
18010031,201801,13.472700000000001,0.9682,2,1,2,39900,1100,3,2,1,3,9,R,R,R,R,R,R,R,R
18010032,201801,54.285700000000006,0.9682,3,1,2,51000,1200,3,2,3,3,1,R,R,R,R,R,R,R,R
18010033,201801,13.472700000000001,0.9682,2,1,2,38100,840,1,2,1,3,9,R,I,R,R,R,R,R,R
18010034,201801,13.472700000000001,0.9682,2,1,2,9,1200,3,3,1,2,9,R,9,R,R,R,R,R,R
18010035,201801,13.472700000000001,0.9682,2,1,2,49900,1300,3,2,3,3,9,I,I,I,I,I,I,I,I
18010036,201801,16.8842,0.9682,4,1,2,65000,1200,3,2,3,3,1,R,R,R,R,R,R,R,R
18010037,201801,16.8842,0.9682,4,1,2,62000,860,1,2,3,3,1,R,R,R,R,R,R,R,R
18010038,201801,54.285700000000006,0.9682,3,1,2,51000,1200,3,2,1,2,1,R,R,R,R,R,R,R,R
18010039,201801,13.472700000000001,0.9682,2,1,2,51000,1200,3,2,1,3,9,R,R,R,R,R,R,R,R
18010040,201801,13.472700000000001,0.9682,2,1,2,29400,1000,3,3,1,3,9,R,R,R,R,R,R,R,R
18010041,201801,13.472700000000001,0.9682,2,1,2,40300,920,3,1,3,3,9,I,I,I,I,I,I,I,I
18010042,201801,13.472700000000001,0.9682,2,1,2,41300,960,1,3,3,2,9,I,I,I,I,I,I,I,I
18010043,201801,16.8842,0.9682,4,1,2,9,780,1,2,1,3,1,R,9,R,R,R,R,R,R
18010044,201801,10.700000000000001,0.9682,1,1,2,26400,480,1,2,3,3,9,R,R,R,R,R,R,R,R
