SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
1,201601,8.716666666666667,2,1,2,1.0000365284384733,R,R,R,R,32300,700,R,R,R,R,1,3,3,1,16010001
1,201601,8.716666666666667,1,1,9,1.0000365284384733,R,I,I,I,36000,700,9,9,9,9,1,9,9,9,16010002
1,201601,8.716666666666667,2,1,2,1.0000365284384733,I,I,I,I,36000,700,I,I,I,I,1,1,3,1,16010003
1,201601,8.716666666666667,2,1,2,1.0000365284384733,R,R,R,R,64000,700,R,R,R,R,1,1,3,1,16010004
1,201601,8.716666666666667,1,1,9,1.0000365284384733,R,R,R,R,37000,800,9,9,9,9,3,9,9,9,16010005
1,201601,8.716666666666667,1,1,9,1.0000365284384733,I,I,I,I,40000,800,9,9,9,9,3,9,9,9,16010006
1,201601,8.716666666666667,1,1,9,1.0000365284384733,I,I,I,I,42000,900,9,9,9,9,1,9,9,9,16010007
1,201601,8.716666666666667,2,1,2,1.0000365284384733,R,R,R,R,47000,900,R,R,R,R,1,1,3,1,16010008
1,201601,8.716666666666667,1,1,9,1.0000365284384733,I,I,I,I,43000,1000,9,9,9,9,1,9,9,9,16010009
1,201601,8.716666666666667,1,1,9,1.0000365284384733,I,I,I,I,43000,1000,9,9,9,9,1,9,9,9,16010010
1,201601,8.716666666666667,2,1,2,1.0000365284384733,I,I,I,I,44000,1000,I,I,I,I,3,3,1,9,16010011
1,201601,8.716666666666667,2,1,3,1.0000365284384733,R,R,R,R,48000,1000,R,R,R,R,1,1,3,1,16010012
1,201601,8.716666666666667,1,1,9,1.0000365284384733,R,R,R,R,49000,1000,9,9,9,9,3,9,9,9,16010013
1,201601,8.716666666666667,2,1,2,1.0000365284384733,R,R,R,R,101100,1000,R,R,R,R,1,1,3,1,16010014
1,201601,8.716666666666667,2,1,2,1.0000365284384733,R,9,I,I,9,1100,I,R,I,I,3,1,2,1,16010015
1,201601,8.716666666666667,2,1,3,1.0000365284384733,R,R,R,R,32300,1100,R,R,R,R,3,1,2,1,16010016
1,201601,8.716666666666667,1,1,9,1.0000365284384733,R,R,R,R,44000,1100,9,9,9,9,3,9,9,9,16010017
1,201601,8.716666666666667,2,1,2,1.0000365284384733,I,I,I,I,47000,1100,I,I,I,I,3,1,1,9,16010018
1,201601,8.716666666666667,2,1,2,1.0000365284384733,I,I,I,I,52000,1200,I,I,I,I,3,3,1,9,16010019
1,201601,8.716666666666667,1,1,9,1.0000365284384733,R,R,R,R,101100,1200,9,9,9,9,3,9,9,9,16010020
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,51900,1100,9,9,9,9,1,9,9,9,16010021
2,201601,4.358333333333333,2,1,3,1.034693814718646,R,R,R,R,66000,1100,I,I,R,R,1,1,1,9,16010022
2,201601,4.358333333333333,2,1,3,1.034693814718646,R,R,R,R,51900,1100,R,R,R,R,3,3,1,9,16010023
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,60000,1100,R,R,R,R,3,3,3,1,16010024
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,62000,1100,9,9,9,9,3,9,9,9,16010025
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,64000,1100,9,9,9,9,3,9,9,9,16010026
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,I,R,R,79000,1300,9,9,9,9,3,9,9,9,16010027
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,130000,1300,R,R,R,R,1,1,1,9,16010028
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,77000,1400,9,9,9,9,3,9,9,9,16010029
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,94000,1400,R,R,R,R,3,1,3,1,16010030
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,51900,1500,9,9,9,9,3,9,9,9,16010031
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,70000,1500,9,9,9,9,3,9,9,9,16010032
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,70000,1500,9,9,9,9,3,9,9,9,16010033
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,70000,1500,R,R,R,R,3,3,3,1,16010034
2,201601,4.358333333333333,2,1,1,1.034693814718646,R,R,R,R,76000,1500,R,R,R,R,3,3,2,1,16010035
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,78000,1500,9,9,9,9,3,9,9,9,16010036
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,80000,1500,R,R,R,R,3,1,2,1,16010037
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,I,R,R,83000,1500,9,9,9,9,1,9,9,9,16010038
2,201601,4.358333333333333,1,1,9,1.034693814718646,I,I,I,I,83000,1500,9,9,9,9,3,9,9,9,16010039
2,201601,4.358333333333333,2,1,2,1.034693814718646,I,I,I,I,83000,1500,I,I,I,I,3,3,2,1,16010040
2,201601,4.358333333333333,2,1,3,1.034693814718646,R,R,R,R,89000,1500,R,R,R,R,1,1,1,9,16010041
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,65000,1600,9,9,9,9,3,9,9,9,16010042
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,69000,1600,R,R,R,R,3,3,1,9,16010043
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,79000,1600,R,R,R,R,3,1,1,9,16010044
2,201601,4.358333333333333,2,1,1,1.034693814718646,R,R,R,R,84000,1600,R,R,R,R,3,3,2,1,16010045
2,201601,4.358333333333333,1,1,9,1.034693814718646,I,I,I,I,86000,1600,9,9,9,9,1,9,9,9,16010046
2,201601,4.358333333333333,1,1,9,1.034693814718646,I,I,I,I,86000,1600,9,9,9,9,3,9,9,9,16010047
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,94000,1600,9,9,9,9,3,9,9,9,16010048
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,145000,1600,9,9,9,9,1,9,9,9,16010049
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,155000,1600,9,9,9,9,1,9,9,9,16010050
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,87000,1700,9,9,9,9,3,9,9,9,16010051
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,89000,1700,R,R,R,R,3,3,3,1,16010052
2,201601,4.358333333333333,1,1,9,1.034693814718646,I,I,I,I,90000,1700,9,9,9,9,3,9,9,9,16010053
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,98000,1700,9,9,9,9,3,9,9,9,16010054
2,201601,4.358333333333333,1,1,9,1.034693814718646,R,R,R,R,150000,1700,9,9,9,9,3,9,9,9,16010055
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,164000,1700,R,R,R,R,3,1,3,1,16010056
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,109000,1800,R,R,R,R,3,1,1,9,16010057
2,201601,4.358333333333333,2,1,2,1.034693814718646,R,R,R,R,239100,1800,R,R,R,R,3,1,2,1,16010058
1,201601,9.363636363636363,2,2,1,1.0000365284384733,R,I,R,R,40000,700,I,R,R,R,1,1,1,9,16010059
1,201601,9.363636363636363,2,2,2,1.0000365284384733,I,I,I,I,40000,700,I,I,I,I,1,1,3,1,16010060
1,201601,9.363636363636363,1,2,9,1.0000365284384733,R,R,R,R,35000,900,9,9,9,9,3,9,9,9,16010061
1,201601,9.363636363636363,2,2,3,1.0000365284384733,R,R,R,R,39000,900,R,R,R,R,1,1,3,1,16010062
1,201601,9.363636363636363,2,2,2,1.0000365284384733,I,I,I,I,42000,900,I,I,I,I,1,3,1,9,16010063
1,201601,9.363636363636363,2,2,2,1.0000365284384733,I,I,I,I,42000,900,I,I,I,I,3,3,3,1,16010064
1,201601,9.363636363636363,2,2,2,1.0000365284384733,R,R,R,R,36000,1000,R,R,R,R,1,1,3,1,16010065
1,201601,9.363636363636363,2,2,2,1.0000365284384733,R,R,R,R,36000,1000,R,R,R,R,1,1,3,1,16010066
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,44000,1000,9,9,9,9,1,9,9,9,16010067
1,201601,9.363636363636363,2,2,2,1.0000365284384733,I,I,I,I,44000,1000,I,I,I,I,1,1,3,1,16010068
1,201601,9.363636363636363,2,2,2,1.0000365284384733,R,R,I,I,40000,1100,I,R,I,R,3,1,1,9,16010069
1,201601,9.363636363636363,2,2,2,1.0000365284384733,R,R,R,R,40000,1100,I,R,I,I,3,1,2,1,16010070
1,201601,9.363636363636363,2,2,1,1.0000365284384733,I,I,I,I,47000,1100,I,I,I,I,3,1,3,1,16010071
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010072
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010073
1,201601,43.15,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010074
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010075
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010076
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010077
1,201601,9.363636363636363,1,2,9,1.0000365284384733,I,I,I,I,49000,1100,9,9,9,9,3,9,9,9,16010078
